joinID,COUNTY,Labor Force,Employed,Unemployed,Unemployed Rate,Population
1,Androscoggin,54804,52518,2286,4.2,107319
2,Aroostook,31704,29829,1875,5.9,67959
3,Cumberland,157921,152496,5425,3.4,292041
4,Franklin,14534,13843,691,4.9,30001
5,Hancock,29065,27442,1623,5.6,54419
6,Kennebec,61626,59013,2613,4.2,120569
7,Knox,20475,19635,840,4.1,39744
8,Lincoln,16727,15983,744,4.4,34216
9,Oxford,26532,25087,1445,5.4,57217
10,Penobscot,76866,73225,3641,4.7,151806
11,Piscataquis,7452,7041,411,5.5,16843
12,Sagadahoc,18934,18268,666,3.5,35273
13,Somerset,23634,22086,1548,6.5,50915
14,Waldo,20617,19543,1074,5.2,39364
15,Washington,13992,13098,894,6.4,31450
16,York,108483,104220,4263,3.9,202343
