County,Total_Population,Med_Age_Total,Age_0-2,Age_3-4,Age_5-18,Age_65_and_older,Total_Housing_Units,Total_Occupied_Housing_Units,Percent_Owned_with_mortgage_loan,Percent_owned_free_clear,Percent_Renter_occupied,Total_Vacant_units,Percent_Vacant,Percent_seasonal,Percent_vacant_not_seasonal,Total_households,1_person_hhld,2_person_hhld,3_person_hhld,4_person_hhld,5_person_hhld,6_person_hhld,7_person_or_more_hhld
ADAMS,101407,41.29999995,3260,2334,18435,15954,40820,38013,53.20%,24.10%,22.70%,2807,6.90%,1.80%,5.10%,38013,8336,14502,6403,5203,2256,825,488
ALLEGHENY,1223348,41.29999995,38336,25304,194597,205059,589201,533960,41.30%,23.40%,35.30%,55241,9.40%,0.40%,8.90%,533960,186958,178418,78731,57041,22377,7115,3320
ARMSTRONG,68941,44.5,2129,1476,11443,12687,32520,28713,39.30%,36.20%,24.50%,3807,11.70%,3.80%,7.90%,28713,8034,10516,4608,3537,1331,443,244
BEAVER,170539,44.39999998,5417,3549,28157,31660,78211,71383,44.40%,28.90%,26.70%,6828,8.70%,0.50%,8.30%,71383,20910,25772,11340,8473,3376,1028,484
BEDFORD,49762,43.89999998,1561,1066,8696,9476,23954,20233,41.50%,37.00%,21.50%,3721,15.50%,8.90%,6.60%,20233,5204,7668,3325,2455,1011,350,220
BERKS,411442,39.0999999,14834,10454,79497,59558,164827,154356,49.00%,22.70%,28.30%,10471,6.40%,0.40%,5.90%,154356,37793,53488,25689,21128,9564,4010,2684
BLAIR,127089,42,4316,2911,21599,22527,56276,52159,40.90%,29.40%,29.70%,4117,7.30%,0.70%,6.60%,52159,15455,18148,8404,6328,2545,851,428
BRADFORD,62622,43.39999998,2246,1518,11317,11152,29979,25321,40.40%,33.80%,25.70%,4658,15.50%,10.10%,5.50%,25321,6633,9531,3898,3028,1382,526,323
BUCKS,625249,42,19766,14384,117458,91219,245956,234849,56.70%,20.40%,22.90%,11107,4.50%,0.60%,3.90%,234849,53912,78240,41085,37196,16357,5459,2600
BUTLER,183862,41.5,5721,4262,34068,27853,78167,72835,48.70%,27.10%,24.20%,5332,6.80%,1.00%,5.80%,72835,19324,25841,11612,10206,4156,1253,443
CAMBRIA,143679,43.79999995,4199,3044,23054,27071,65650,58950,37.30%,36.30%,26.40%,6700,10.20%,1.40%,8.80%,58950,18390,21036,8893,6596,2753,886,396
CAMERON,5085,48.19999993,139,80,820,1086,4455,2273,35.70%,38.10%,26.20%,2182,49.00%,42.20%,6.80%,2273,746,890,288,212,95,29,13
CARBON,65249,43.89999998,2045,1442,10790,11644,34299,26684,48.70%,28.60%,22.60%,7615,22.20%,14.70%,7.50%,26684,7135,9734,4495,3266,1330,465,259
CENTRE,153990,28.69999999,4001,2770,21810,17366,63297,57573,38.00%,20.60%,41.40%,5724,9.00%,5.30%,3.70%,57573,16533,20419,9073,7726,2493,822,507
CHESTER,498886,39.29999995,17963,13163,100287,63875,192462,182900,57.70%,18.50%,23.80%,9562,5.00%,0.60%,4.40%,182900,42032,61027,30019,29869,13052,4360,2541
CLARION,39988,39.39999998,1226,827,6599,6566,19962,16128,33.90%,34.40%,31.70%,3834,19.20%,12.90%,6.30%,16128,4573,5971,2508,1955,750,229,142
CLEARFIELD,81642,42.89999998,2393,1660,13255,14258,38644,32288,40.20%,36.70%,23.10%,6356,16.40%,9.00%,7.50%,32288,8934,11978,5253,3889,1503,488,243
CLINTON,39238,38.5,1301,904,6682,6350,19080,15151,41.60%,29.30%,29.10%,3929,20.60%,15.00%,5.60%,15151,4010,5735,2463,1792,714,261,176
COLUMBIA,67295,39.5,1869,1351,10895,10811,29498,26479,40.10%,29.30%,30.60%,3019,10.20%,4.10%,6.10%,26479,7499,9654,4188,3246,1208,456,228
CRAWFORD,88765,41.69999993,2942,2128,16299,14712,44686,35028,41.90%,31.80%,26.30%,9658,21.60%,14.50%,7.10%,35028,9823,13006,5252,3945,1760,676,566
CUMBERLAND,235406,40.29999995,7514,5219,39681,36745,99988,93943,49.10%,22.90%,28.00%,6045,6.00%,0.90%,5.20%,93943,26533,34617,14587,11662,4367,1371,806
DAUPHIN,268100,39.39999998,10076,6718,49012,36841,120406,110435,45.10%,19.70%,35.30%,9971,8.30%,0.70%,7.60%,110435,34403,37243,17101,12835,5533,2051,1269
DELAWARE,558979,38.69999993,20123,13856,105936,79726,222902,208700,50.70%,19.90%,29.50%,14202,6.40%,0.30%,6.10%,208700,57697,63491,35046,29793,14256,5369,3048
ELK,31946,45.0999999,876,671,5463,6066,17585,13693,40.60%,37.90%,21.50%,3892,22.10%,15.60%,6.50%,13693,4078,5126,2019,1562,638,184,86
ERIE,280566,38.5999999,9893,6864,51705,40824,119138,110413,42.30%,24.60%,33.10%,8725,7.30%,1.40%,6.00%,110413,32373,37482,17360,13651,5953,2257,1337
FAYETTE,136606,43.5999999,3977,2833,22505,24580,62773,55997,36.40%,35.50%,28.10%,6776,10.80%,2.50%,8.30%,55997,16278,19872,9240,6575,2663,873,496
FOREST,7716,43,109,73,894,1418,8760,2511,33.30%,48.70%,17.90%,6249,71.30%,68.10%,3.30%,2511,909,1003,305,170,74,34,16
FRANKLIN,149618,40.0999999,5892,4055,27905,24679,63219,58389,47.20%,26.30%,26.60%,4830,7.60%,1.70%,6.00%,58389,14211,21894,9465,7409,3279,1263,868
FULTON,14845,41.79999995,547,369,2694,2544,7122,6014,40.90%,35.90%,23.20%,1108,15.60%,8.20%,7.30%,6014,1503,2338,979,703,290,126,75
GREENE,38686,41.0999999,1137,811,6307,5931,16460,14724,37.50%,35.10%,27.50%,1736,10.50%,2.50%,8.00%,14724,3971,5303,2451,1904,734,227,134
HUNTINGDON,45913,41.19999993,1478,1019,7405,7458,22365,17280,42.30%,33.70%,24.00%,5085,22.70%,17.00%,5.80%,17280,4769,6413,2728,2061,829,313,167
INDIANA,88880,38.29999995,2619,1878,14416,13944,38236,35005,35.70%,33.10%,31.20%,3231,8.50%,1.90%,6.50%,35005,9853,13024,5469,4080,1648,500,431
JEFFERSON,45200,43,1538,1055,7824,8255,22434,18561,38.60%,36.30%,25.10%,3873,17.30%,10.60%,6.70%,18561,5231,6742,2982,2222,875,302,207
JUNIATA,24636,40.89999998,915,644,4667,4134,10978,9476,43.00%,33.10%,23.90%,1502,13.70%,8.50%,5.20%,9476,2175,3650,1546,1160,523,215,207
LACKAWANNA,214437,41.79999995,6837,4722,35596,37895,96832,87226,39.60%,26.20%,34.20%,9606,9.90%,2.10%,7.80%,87226,27524,28387,13907,10560,4418,1609,821
LANCASTER,519445,38.19999993,21366,14155,101299,77780,202952,193602,46.30%,22.30%,31.50%,9350,4.60%,0.50%,4.10%,193602,46793,69237,30591,25450,11743,4979,4809
LAWRENCE,91108,43.5999999,2888,1978,15780,17128,40975,37126,43.70%,31.60%,24.70%,3849,9.40%,1.10%,8.20%,37126,10720,13009,6015,4475,1922,650,335
LEBANON,133568,41,4988,3470,24059,22729,55592,52258,46.70%,25.30%,28.00%,3334,6.00%,0.90%,5.10%,52258,13520,19239,8258,6484,2842,1115,800
LEHIGH,349497,39.39999998,12632,8774,66159,51604,142613,133983,47.30%,20.50%,32.20%,8630,6.10%,0.50%,5.60%,133983,35279,44748,22150,18579,8120,3060,2047
LUZERNE,320918,42.5,9763,6765,52973,57595,148748,131932,40.40%,27.60%,32.00%,16816,11.30%,2.30%,9.00%,131932,41481,44115,21292,15288,6329,2164,1263
LYCOMING,116111,41.0999999,3743,2706,19631,19112,52500,46700,41.60%,26.50%,31.90%,5800,11.00%,5.70%,5.30%,46700,13158,17323,7275,5502,2310,759,373
MCKEAN,43450,41.5,1364,1008,7514,7381,21225,17183,41.60%,31.90%,26.40%,4042,19.00%,11.00%,8.00%,17183,5067,6304,2569,1973,832,296,142
MERCER,116638,42.79999995,3475,2487,21032,21556,51733,46442,41.60%,31.50%,26.90%,5291,10.20%,2.00%,8.20%,46442,13640,16921,7069,5264,2228,774,546
